content_id,content_type,title,series_id,season_number,episode_number,genre,maturity_rating,duration_minutes,release_year,is_original,created_at
movie_1,movie,Sharable bifurcated algorithm,,,,Sci-Fi,G,110,2002,True,2026-02-23 10:08:47.799671
movie_2,movie,User-centric even-keeled encryption,,,,Romance,TV-14,144,1997,True,2026-02-23 10:08:47.799681
movie_3,movie,Face-to-face client-driven support,,,,Action,PG,104,2011,False,2026-02-23 10:08:47.799688
movie_4,movie,Customer-focused systematic support,,,,Kids,TV-14,144,2008,True,2026-02-23 10:08:47.799695
movie_5,movie,Quality-focused background parallelism,,,,Kids,TV-MA,75,2019,False,2026-02-23 10:08:47.799702
movie_6,movie,Optimized 5thgeneration algorithm,,,,Romance,PG-13,94,2001,False,2026-02-23 10:08:47.799709
movie_7,movie,Cross-group didactic emulation,,,,Drama,PG,87,2006,False,2026-02-23 10:08:47.799715
movie_8,movie,Profit-focused real-time algorithm,,,,Kids,TV-MA,133,2012,True,2026-02-23 10:08:47.799721
movie_9,movie,Realigned dedicated structure,,,,Thriller,G,112,2021,False,2026-02-23 10:08:47.799727
movie_10,movie,Streamlined tangible moratorium,,,,Thriller,PG-13,99,2017,True,2026-02-23 10:08:47.799734
movie_11,movie,Operative directional knowledge user,,,,Sci-Fi,TV-14,85,2022,True,2026-02-23 10:08:47.799741
movie_12,movie,Reverse-engineered even-keeled workforce,,,,Action,PG-13,156,2021,True,2026-02-23 10:08:47.799747
movie_13,movie,Adaptive well-modulated workforce,,,,Drama,PG,109,2017,False,2026-02-23 10:08:47.799753
movie_14,movie,Diverse tangible interface,,,,Sci-Fi,TV-14,96,2012,False,2026-02-23 10:08:47.799759
movie_15,movie,Mandatory even-keeled collaboration,,,,Comedy,PG-13,156,2017,True,2026-02-23 10:08:47.799765
movie_16,movie,Extended well-modulated Graphical User Interface,,,,Romance,TV-MA,82,2002,False,2026-02-23 10:08:47.799772
movie_17,movie,Customer-focused background implementation,,,,Documentary,PG-13,83,2001,False,2026-02-23 10:08:47.799778
movie_18,movie,Cross-platform heuristic hardware,,,,Kids,TV-14,102,2015,True,2026-02-23 10:08:47.799787
movie_19,movie,Robust empowering workforce,,,,Thriller,TV-14,93,2003,True,2026-02-23 10:08:47.799794
movie_20,movie,Balanced upward-trending knowledgebase,,,,Romance,TV-14,149,2008,False,2026-02-23 10:08:47.799800
movie_21,movie,Public-key bottom-line implementation,,,,Family,PG,92,2011,True,2026-02-23 10:08:47.799806
movie_22,movie,Configurable neutral frame,,,,Romance,TV-MA,94,2015,True,2026-02-23 10:08:47.799812
movie_23,movie,Self-enabling regional hierarchy,,,,Romance,TV-14,124,2007,True,2026-02-23 10:08:47.799818
movie_24,movie,Re-engineered content-based strategy,,,,Family,PG,145,2022,False,2026-02-23 10:08:47.799824
