user_id,signup_date,first_seen_date,last_seen_date,user_segment,age_bucket,primary_device_type,primary_os,country,region,city,is_kids_profile,updated_at
user_0,2025-05-05,2025-05-05,2025-09-11,premium,18-24,desktop,Linux,CA,BC,Vancouver,False,2025-09-11
user_1,2025-12-23,2025-12-23,2026-05-13,ad_supported,25-34,tablet,Android,CA,BC,Vancouver,False,2026-05-13
user_2,2025-02-28,2025-02-28,2025-03-08,ad_supported,13-17,desktop,Windows,UK,SCT,Edinburgh,False,2025-03-08
user_3,2025-08-18,2025-08-18,2026-02-01,ad_supported,35-44,tv,tvOS,CA,ON,Toronto,False,2026-02-01
user_4,2025-02-24,2025-02-24,2025-07-26,ad_supported,25-34,tv,tvOS,UK,SCT,Edinburgh,False,2025-07-26
user_5,2025-04-13,2025-04-13,2025-07-17,ad_supported,45-54,desktop,Linux,CA,BC,Vancouver,False,2025-07-17
user_6,2025-03-02,2025-03-02,2025-07-13,premium,35-44,tv,Roku,US,NY,New York,False,2025-07-13
user_7,2025-09-26,2025-09-26,2025-12-14,kids,45-54,mobile,Android,CA,ON,Toronto,True,2025-12-14
user_8,2025-10-15,2025-10-15,2025-12-26,ad_supported,35-44,tv,tvOS,UK,ENG,London,False,2025-12-26
user_9,2025-08-27,2025-08-27,2025-11-14,ad_supported,35-44,desktop,Linux,CA,BC,Vancouver,False,2025-11-14
user_10,2025-09-04,2025-09-04,2025-10-12,ad_supported,45-54,desktop,macOS,CA,BC,Vancouver,False,2025-10-12
user_11,2025-12-09,2025-12-09,2026-05-28,ad_supported,25-34,mobile,Android,UK,SCT,Edinburgh,False,2026-05-28
user_12,2025-09-02,2025-09-02,2025-12-09,ad_supported,35-44,tablet,iOS,UK,SCT,Edinburgh,False,2025-12-09
user_13,2025-11-24,2025-11-24,2026-03-03,ad_supported,25-34,tablet,Android,CA,BC,Vancouver,False,2026-03-03
user_14,2025-11-07,2025-11-07,2025-12-09,ad_supported,18-24,desktop,Windows,CA,ON,Toronto,False,2025-12-09
user_15,2025-10-15,2025-10-15,2026-01-08,premium,25-34,mobile,Android,US,NY,New York,False,2026-01-08
user_16,2025-02-07,2025-02-07,2025-07-11,ad_supported,25-34,desktop,Windows,CA,ON,Toronto,False,2025-07-11
